Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Kadamba Transport Corporation Limited (KTCL) - 141177,Non AC Seater 2+2,19:00,10h 00m,05:00,3.6,INR 600,21 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,10h 35m,05:50,3.8,INR 1100,13 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:15,10h 40m,07:55,4.5,INR 600,16 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:00,10h 00m,08:00,4.0,INR 999,14 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:30,11h 00m,09:30,4.0,INR 1020,17 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Gogte Anand Travels,Volvo Multi-Axle A/C Sleeper (2+1),23:30,10h 55m,10:25,4.0,INR 1001,15 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:00,11h 00m,10:00,4.1,INR 1050,16 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi Queen Asta,A/C Sleeper (2+1),21:30,10h 30m,08:00,4.0,INR 900,17 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Gogte Shree Travels,A/C Sleeper (2+1),20:40,10h 45m,07:25,4.4,INR 901,14 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Zingbus Plus,AC Sleeper (2+1),22:45,11h 10m,09:55,4.2,900,12 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),21:15,10h 40m,07:55,4.1,INR 1001,14 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Amrutyog,A/C Sleeper (2+1),22:05,11h 25m,09:30,4.4,INR 900,12 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),22:35,10h 25m,09:00,4.2,INR 1012,10 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray National Express,NON A/C Sleeper (2+1),20:00,10h 45m,06:45,4.2,INR 1160,1 Seat available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),22:00,11h 35m,09:35,4.4,INR 900,7 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:30,11h 05m,09:35,4.0,INR 900,13 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Sangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,09h 45m,06:45,4.3,INR 905,8 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:45,11h 10m,10:55,4.4,900,6 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:05,11h 25m,08:30,4.2,INR 1000,9 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Vip Yellows,A/C Sleeper (2+1),20:35,11h 25m,08:00,4.2,INR 920,7 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),20:25,10h 45m,07:10,4.2,INR 975,4 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,10h 30m,07:30,4.7,INR 900,3 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:00,10h 40m,07:40,4.4,INR 900,12 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),23:20,10h 40m,10:00,4.4,INR 1063,11 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels,Non A/C Seater / Sleeper (2+1),21:20,11h 30m,08:50,4.3,INR 970,5 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 15m,08:45,4.6,INR 950,1 Seat available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Gogte Travels,A/C Sleeper (2+1),20:15,10h 45m,07:00,4.3,INR 901,6 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Indumati Travels,A/C Sleeper (2+1),22:20,10h 10m,08:30,4.3,879,8 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),22:10,10h 40m,08:50,4.3,INR 1036,6 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),19:45,10h 15m,06:00,4.2,INR 1119,3 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,11h 15m,07:15,4.2,INR 700,2 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),23:00,11h 00m,10:00,4.5,INR 1020,22 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Anand Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:30,10h 30m,09:00,4.1,INR 1399,1 Seat available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),21:45,11h 00m,08:45,3.3,INR 1220,25 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),21:25,10h 36m,08:01,3.9,INR 999,14 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:15,11h 15m,09:30,3.7,INR 1320,14 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,NON A/C Sleeper (2+1),20:30,10h 30m,07:00,3.8,INR 800,10 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Gogte Travels (Manish),Non AC Seater (2+2),19:20,12h 10m,07:30,3.1,INR 500,25 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi Queen Prime,A/C Sleeper (2+1),20:30,11h 00m,07:30,3.8,INR 900,17 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Anand Tours And Travels,NON A/C Sleeper (2+1),21:00,10h 15m,07:15,4.1,INR 2000,48 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,M R Travels,A/C Seater / Sleeper (2+1),19:00,14h 10m,09:10,3.9,INR 2000,35 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,M R Travels,A/C Seater / Sleeper (2+1),21:00,13h 30m,10:30,3.9,INR 2000,35 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),21:30,10h 00m,07:30,3.9,INR 919,8 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Shreyash Travels,Bharat Benz A/C Sleeper (2+1),21:45,10h 45m,08:30,3.7,841,3 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Gogte Shreyas,A/C Sleeper (2+1),21:45,11h 15m,09:00,3.8,INR 901,3 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Abhishek Vishal Travels,A/C Sleeper (2+1),23:00,09h 40m,08:40,3.6,INR 900,19 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Atmaram Divine,NON A/C Sleeper (2+1),19:45,11h 00m,06:45,3.9,INR 700,6 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Humsafar Travels,Bharat Benz A/C Sleeper (2+1),22:50,10h 40m,09:30,3.3,INR 950,16 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),23:15,10h 20m,09:35,3.8,1200,3 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi Empress Stellar,NON A/C Sleeper (2+1),21:00,11h 00m,08:00,3.9,INR 700,3 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,PSR Travels Goa (Parrikar),A/C Sleeper (2+1),23:45,09h 45m,09:30,3.4,INR 999,7 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin travel house,A/C Sleeper (2+1),23:00,11h 45m,10:45,3.7,INR 919,21 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Abhishek Vishal Travels,A/C Sleeper (2+1),00:15,10h 00m,10:15,3.3,INR 900,24 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Abhishek Vishal Travels,NON A/C Push Back (2+2),21:25,09h 45m,07:10,3.0,INR 600,7 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,VRL Travels,A/C Sleeper (2+1),23:30,10h 15m,09:45,2.5,INR 1020,11 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),21:30,11h 00m,08:30,3.5,INR 920,28 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin Travel House (39),A/C Sleeper (2+1),22:25,10h 05m,08:30,2.5,INR 919,23 Seats available
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Kadamba Transport Corporation Limited (KTCL) - 6032,Non AC Seater 2+2,18:00,14h 00m,08:00,4.0,INR 600,38 Seats available
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Kadamba Transport Corporation Limited (KTCL) - 89820,A/C Sleeper (2+1),19:00,12h 00m,07:00,3.2,INR 800,21 Seats available
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,11h 30m,10:00,4.4,INR 900,13 Seats available
