Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66687,Volvo AC Seater (2+2),18:10,06h 09m,00:19,3.7,INR 711,36 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,A/C Semi Sleeper (2+2),20:00,07h 00m,03:00,4.2,INR 3300,16 Seats available
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),22:00,07h 00m,05:00,4.2,INR 3850,4 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),23:30,07h 00m,06:30,4.2,INR 3300,44 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),19:30,07h 00m,02:30,4.2,INR 3300,48 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,Volvo A/C Sleeper (2+1),22:00,07h 00m,05:00,4.2,INR 3850,32 Seats available
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,Indo Canadian Transport Company,A/C Semi Sleeper (2+2),21:00,07h 00m,04:00,4.2,INR 3300,44 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,08h 00m,04:50,3.7,INR 997,28 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,07h 00m,03:50,4.0,INR 873,28 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67164,Volvo AC Seater (2+2),21:50,05h 59m,03:49,4.3,INR 873,24 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,PEPSU (Punjab) - 67164,Volvo AC Seater (2+2),21:50,08h 00m,05:50,4.8,INR 997,26 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,NueGo,Electric A/C Seater (2+2),23:15,05h 50m,05:05,4.1,367,18 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,05h 51m,04:18,4.5,INR 500,28 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,06h 20m,06:15,4.7,INR 479,29 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,New Navyug Travels,A/C Sleeper (2+1),23:00,06h 30m,05:30,4.4,INR 775,17 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:55,06h 50m,06:45,4.3,INR 550,29 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,06h 50m,06:40,4.7,629,26 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:10,06h 40m,05:50,4.3,INR 479,15 Seats available
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Indo Canadian Transport Company,A/C Semi Sleeper (2+2),19:29,07h 31m,03:00,4.2,INR 3300,16 Seats available
